,Alfalfa,Allium,Borage,Burdock,Calendula,Cattail,Chickweed,Chicory,Chive blossoms,Coltsfoot,Common mallow,Common milkweed,Common vetch,Common yarrow,Coneflower,Cow parsley,Cowslip,Crimson clover,Crithmum maritimum,Daisy,Dandelion,Fennel,Fireweed,Gardenia,Garlic mustard,Geranium,Ground ivy,Harebell,Henbit,Knapweed,Meadowsweet,Mullein,Pickerelweed,Ramsons,Red Clover
Alfalfa,8,2,1,2,0,2,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,2,0,2,0,10,0,2
Allium,5,17,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,1,2,1,2,1,3
Borage,1,1,14,3,0,3,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,5,0,0,0,1,6,0,0
Burdock,0,2,0,17,0,0,2,0,0,0,3,1,1,1,0,0,0,0,1,0,2,1,0,0,2,0,1,0,1,7,2,0,2,0,0
Calendula,0,0,0,0,40,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cattail,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,0,0,0,2,0,1,1,1,0,4,0,1,3,0
Chickweed,0,0,0,0,2,0,17,0,0,0,0,1,3,0,1,0,0,0,1,2,1,0,0,4,11,0,0,1,0,0,2,0,0,2,0
Chicory,0,0,3,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0
Chive blossoms,0,1,0,1,0,0,1,0,22,0,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,4,0,0,2,2,1
Coltsfoot,0,0,0,0,0,1,1,0,0,42,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Common mallow,4,0,1,1,0,0,1,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,2,1,0,7,3,1,2,1,0,0,2,0,0
Common milkweed,1,4,0,1,1,0,1,0,2,0,0,15,1,0,3,0,1,0,0,0,0,2,0,2,2,0,0,0,0,1,5,0,1,3,0
Common vetch,3,0,1,1,0,0,0,0,0,0,9,0,11,0,0,1,0,1,0,1,0,0,1,0,2,3,1,1,5,0,0,1,0,1,1
Common yarrow,0,0,0,0,0,1,2,0,0,0,0,1,0,13,0,1,8,0,0,2,0,1,0,2,6,0,0,0,0,0,6,0,1,3,0
Coneflower,0,0,1,0,1,0,0,0,0,1,2,1,0,0,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Cow parsley,1,0,0,0,2,1,0,0,0,2,0,0,1,1,0,20,0,0,1,1,0,7,0,0,1,0,0,0,0,0,0,5,1,0,0
Cowslip,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,32,0,0,0,1,1,0,0,2,0,0,0,0,0,5,0,0,3,0
Crimson clover,0,2,0,1,0,1,0,0,1,0,0,1,1,0,3,1,0,22,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2
Crithmum maritimum,1,0,0,0,0,6,1,0,0,0,0,1,1,0,0,1,0,0,22,0,0,1,0,0,1,0,0,0,1,0,1,0,1,5,0
Daisy,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,34,0,0,0,2,4,0,0,0,0,0,0,0,1,2,0
Dandelion,0,0,0,0,3,0,3,0,1,2,0,0,1,1,0,1,1,0,0,3,30,1,0,0,1,0,0,0,0,0,0,1,1,0,0
Fennel,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,2,0,4,0,1,27,0,0,0,0,0,0,0,0,0,1,1,0,0
Fireweed,0,4,1,1,0,1,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,30,0,0,1,0,0,1,1,0,0,2,0,0
Gardenia,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,39,1,0,0,0,0,0,0,1,1,0,0
Garlic mustard,1,0,0,0,0,0,8,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,1,3,1
Geranium,1,1,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,1,0,32,1,2,0,0,0,0,0,0,0
Ground ivy,1,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,6,0,0,0,0,8,0,0
Harebell,1,1,4,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,2,0,2,5,21,1,0,0,2,2,0,0
Henbit,8,2,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,3,0,20,0,0,0,0,0,1
Knapweed,1,1,1,8,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,29,0,0,1,0,1
Meadowsweet,0,1,1,2,1,0,3,0,0,0,0,2,2,2,0,0,5,0,4,0,0,2,0,0,3,0,0,0,0,1,14,0,0,2,0
Mullein,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,1,2,3,1,1,2,0,0,0,0,0,0,1,24,2,0,0
Pickerelweed,2,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,32,1,0
Ramsons,1,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,7,0,1,4,0,1,1,1,4,0,2,0,0,0,2,0,1,17,0
Red Clover,4,1,0,4,0,0,0,0,8,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,19
